"-- Manual","-- Manuel"
"Additional Information Block","Bloc d'informations supplémentaires"
"Advanced: Custom Layout Update Handle","Avancé : mise à jour de la mise en page personnalisée"
"After Content","Après contenu"
"Attribute","Attribut"
"An improved search box within the search results.<br>When shown, it will make it easier for users to reach specific content on your site, directly through your own site-search pages. Read more information<a href=""http://googlewebmastercentral.blogspot.fi/2014/09/improved-sitelinks-search-box.html"">here</a>.","
Boîte de recherche améliorée dans les résultats de recherche.<br>Lorsqu'il est affiché, il est plus facile pour les utilisateurs d'atteindre un contenu spécifique sur votre site, directement vers vos propres pages de recherche du site. Lire plus d'informations<a href=""http://googlewebmastercentral.blogspot.fi/2014/09/improved-sitelinks-search-box.html"">here</a>."
"Before Content","Avant contenu"
"Brand Attribute","Attribut de la marque"
"Breadcrumbs configuration","Configuration du fil d’Ariane"
"Category Page Configuration","Configuration de la page Catégorie"
"Color Attribute","CAttribut de la couleur"
"Custom Location","Emplacement personnalisé"
"Data Validation","Validation des données"
"Data: Brand","Données : marque"
"Data: Color","Données : couleur"
"Data: Description","Données : Description"
"Data: Model","Données : Modèle"
"Data: Price","Données : Prix"
"Data: Product Identifier","Données : Identification du produit"
"Data: Reviews","Données : Avis"
"Data: Stock","Données : Stock"
"Display","Afficher"
"Display the description of your product in search result","Afficher la description de votre produit dans le résultat de recherche"
"Display in stock or out of stock in the search results","Afficher en stock ou en rupture de stock dans les résultats de recherche"
"Display review score (stars) in the search results","Avis d'affichage des notes (étoiles) dans les résultats de recherche"
"Display the productbrand in search results","Afficher la marque du produit dans les résultats de recherche"
"Display brand in search result","Afficher la marque dans le résultat de recherche"
"Display the model in the search results","Afficher le modèle dans les résultats de recherche"
"Display the category description in the search results","Afficher la description de la catégorie dans les résultats de recherche"
"Display the description of your category in search result","Afficher la description de votre catégorie dans le résultat de recherche"
"Enable on Category Page","Activer sur la page de la catégorie"
"Enable on Product Page","Activer sur la page du produit"
"Enabled","Activé"
"Footer","Pied de page"
"Google: Sitelinks Search Box","Google: Zone de recherche Sitelinks"
"Hidden - Hidden meta data (not recommended)","Invisible - Cacher les méta-données (non recommandé)"
"In stock","En stock"
"Licence","Licence"
"License Key","Clé de la license"
"Location in Footer","Emplacement du pied de page"
"Location on Productpage","Emplacement de la page du produit"
"Magento Reviews","Avis Magento"
"Magmodules","Magmodules"
"Model Attribute","Attribut du modèle"
"Our %s has been rated %s based on %s individual customer review(s)","Notre %s a été noté %s basé sur %s avis unique(s) de client"
"Out of","hors de"
"Out of stock","Rupture de stock"
"Pinterest Rich Product Pins","Enrichissement des repères de modèle pour Pinterest"
"Position","Position"
"Please be informed that it can take <strong>2 up to 8 weeks</strong> until the Rich Snippets will be shown in the Search Engine Results. <br><br><p>Click<a href=""http://www.google.com/webmasters/tools/richsnippets"" target=""_blank"">here</a> to validate your store with the Google Webmastertool<br>Click<a href=""https://ssl.bing.com/webmaster/diagnostics/markup/validator?rflid=1"" target=""_blank"">here</a> to validate your store with the BING Webmastertool<br></p><p>Click<a href=""https://dev.twitter.com/docs/cards/validation/validator"" target=""_blank"">here</a> to validate your store with the Twitter Card<br>Click<a href=""http://developers.pinterest.com/rich_pins/validator/"" target=""_blank"">here</a> to validate your store with Pinterest </p>","Merci de considérer que cela peut prendre entre <strong>2 à 8 semaines</strong> pour que les extraits enrichis soient affichées dans les résultats des moteurs de recherche. <br><br><p>Cliquez <a href=""http://www.google.com/webmasters/tools/richsnippets"" target=""_blank"">ici</a> pour valider votre magasin auprès de Google Webmastertool<br>Click<a href=""https://ssl.bing.com/webmaster/diagnostics/markup/validator?rflid=1"" target=""_blank"">ici</a> pour valider votre magasin auprès de BING Webmastertool<br></p><p>Click<a href=""https://dev.twitter.com/docs/cards/validation/validator"" target=""_blank"">ici</a> pour valider votre magasin auprès de Twitter Card<br>Click<a href=""http://developers.pinterest.com/rich_pins/validator/"" target=""_blank"">ici</a> pour valider votre magasin auprès de Pinterest </p>"
"Price Type","Type de prix"
"Price:","Prix :"
